Tier,City,Household Load kWh/year,PV Size kW,Battery Size kWh,PV Yield kWh/kW/year,Annual PV Generation kWh,PV Used by Household kWh,Grid Import kWh,Grid Export kWh,Self Consumption Ratio %,Self Sufficiency Ratio %,Peak Grid Reduction Proxy kWh/year,System Cost EUR,Annual Net Benefit EUR,Payback Years,NPV EUR,LCOE Proxy EUR/kWh,CO2 Savings kg/year,Lifetime CO2 Savings tonnes,CO2 Savings tonnes per EUR,Battery Final Health,Battery Replacement Year
Tier 1,Berlin,5000,10,3,980,9800,4606.0,394.0,5194.0,47.0,92.12,379.5,14950,2016.3,7.41,7468.0,0.102,1750.28,26.25,0.001756,0.625,12.0
Tier 3,Cottbus,5000,10,3,1030,10300,4841.0,159.0,5459.0,47.0,96.82,303.6,14950,2126.8,7.03,8696.59,0.097,1839.58,27.59,0.001846,0.625,12.0
Tier 2,Dresden,5000,10,3,1020,10200,4794.0,206.0,5406.0,47.0,95.88,330.0,14950,2104.7,7.1,8450.87,0.098,1821.72,27.33,0.001828,0.625,12.0
Tier 2,Freiburg,5000,10,3,1150,11500,5000.0,0.0,6500.0,43.48,100.0,346.5,14950,2270.5,6.58,10294.3,0.087,1900.0,28.5,0.001906,0.625,12.0
Tier 1,Hamburg,5000,10,5,900,9000,4950.0,50.0,4050.0,55.0,99.0,649.0,16250,2042.5,7.96,6459.31,0.12,1881.0,28.21,0.001736,0.625,12.0
Tier 2,Leipzig,5000,10,3,1000,10000,4700.0,300.0,5300.0,47.0,94.0,330.0,14950,2060.5,7.26,7959.44,0.1,1786.0,26.79,0.001792,0.625,12.0
Tier 1,Munich,5000,10,3,1050,10500,4935.0,65.0,5565.0,47.0,98.7,396.0,14950,2171.0,6.89,9188.02,0.095,1875.3,28.13,0.001882,0.625,12.0
Tier 3,Oldenburg,5000,10,5,890,8900,4895.0,105.0,4005.0,55.0,97.9,495.0,16250,2018.0,8.05,6186.91,0.122,1860.1,27.9,0.001717,0.625,12.0
Tier 3,Passau,5000,10,3,1080,10800,5000.0,0.0,5800.0,46.3,100.0,313.5,14950,2214.5,6.75,9671.67,0.092,1900.0,28.5,0.001906,0.625,12.0
